Problem Name	01Runners	02Runners	03Baton	04CDs	05Programmer	06Seoul	07Stories	00Bubble
%(startStateNodeName)%	state26	state10	faded1	start	start	start	start	start
								
%(statement)%	"The track team coach is choosing 3 runners for a relay race. To be fair to everybody on the team, he is going to randomly pick the first runner, then randomly pick the second and third runners. The coach isn't able to make a lineup with an empty spot, and runners cannot appear more than once in the lineup. Please help the coach figure out how many possible lineups he can make."	"The track team coach is choosing 6 runners for a relay race. To be fair to everybody on the team, he is going to randomly pick the first runner, then randomly pick the second, third, fourth, fifth, and sixth runners. The coach isn't able to make a lineup with an empty spot, and runners cannot appear more than once in the lineup. Please help the coach figure out how many possible lineups he can make."	"Cheryl is choreographing a baton routine for her school talent show. She knows a number of different twirls, but she can only fit a sequence of 6 twirls into the routine. To choreograph a routine with only 6 twirls that is still exciting, Cheryl can't use any of her twirls more than once. Please help Cheryl choreograph a talent show-winning routine by answering the following questions."	"Thom is making a CD of songs that he downloaded from Snapster. Because the songs are so long, only 5 will fit on a CD, so Thom doesn't want to put any songs on the CD more than once. To make the task of creating the CD easier, Thom is going to randomly pick the first song for the CD, then randomly pick the second, third, fourth, and fifth songs. Please help Thom figure out how many different CDs he can make."	"Ryan is a computer programmer who creates math tutors for a living. Right now, Ryan is building a tutor for his little brother, A.J. Ryan created a number of different lessons that he could put into the tutor, but A.J. only wants to do a sequence of 3 lessons at a time. Because Ryan wants to make sure A.J. learns as much as possible, he cannot make a tutor if any of the lessons are used more than once. Please help Ryan figure out the number of possible tutors he could build for his brother."	"Liam is visiting Seoul, the capital of South Korea, for 4 days. In Seoul, there are a number of major palaces, restored from the days when South Korea had a monarchy. Liam would like to visit one of the palaces on each day of his trip, but if he can't or does not have a palace to visit on a certain day, he decided to just rest at home. Please help Liam plan his schedule of visits. "	"Mrs. Hemingway is putting together a collection of her students' short stories to send to parents and teachers. Due to printing costs, she can only choose 5 stories to go into the first collection and each story can only appear once. To be fair to all of her students, Mrs. Hemingway will randomly choose the story that will appear first in the collection, then randomly pick the second, third, fourth, and fifth stories. Please help Mrs. Hemmingway put together the collection of her students' stories."	"The track team coach is choosing 3 runners for a relay race. To be fair to everybody on the team, he is going to randomly pick the first runner, then randomly pick the second and third runners. The coach isn't able to make a lineup with an empty spot, and runners cannot appear more than once in the lineup. Please help the coach figure out how many possible lineups he can make."
%(Q1b)%	1. How many different lineups can the coach form if there are only 3 people on the track team?	1. How many different lineups can the coach form if there are only 6 people on the track team?	"1. If Cheryl knows 8 different twirls, how many different routines could she create?"	1. How many different CDs can Thom create if he has downloaded 5 songs?	"1. If Ryan has just 3 lessons to choose from, how many different tutors could he build?"	"1. If there are 3 major palaces in Seoul, how many different schedules of visits could Liam choose from?"	"1. If 5 students submitted stories, how many different possible collections could Mrs. Hemingway compile?"	1. How many different lineups can the coach form if there are only 20 people on the track team?
%(Q2b)%	2. How many different lineups can the coach form if there are only 5 people on the track team?	2. How many different lineups can the coach form if there are only 7 people on the track team?	"2. If Cheryl knows 13 different twirls, how many different routines could she create?"	2. How many different CDs can Thom create if he has downloaded a total of 6 songs?	"2. If Ryan has 7 lessons to choose from, how many different tutors could he build?"	"2. If there are 5 major palaces in Seoul, how many different schedules of visits could Liam choose from?"	"2. If 9 students submitted stories, how many different possible collections could Mrs. Hemingway compile?"	2. How many different lineups can the coach form if there are only 15 people on the track team?
%(Q3b)%	3. How many different lineups can the coach form if there are only 10 people on the track team?	3. How many different lineups can the coach form if there are only 10 people on the track team?	"3. If Cheryl knows 18 different twirls, how many different routines could she create?"	3. How many CDs can Thom create if he has downloaded 17 songs?	3. How many different tutors could Ryan create if he as 12 lessons to choose from?	3. How many different schedules of visits could Liam choose from if there are 8 major palaces in Seoul?	3. How many different collections could Mrs. Hemingway create if 14 students submitted stories?	3. How many different lineups can the coach form if there are only 10 people on the track team?
%(Q4b)%	4. How many different lineups can the coach form if there are only 2 people on the track team?	4. How many different lineups can the coach form if there are only 5 people on the track team?	"4. If Cheryl knows 6 different twirls, how many different routines could she create?"	"4. If Thom has downloaded 33 different songs, how many CDs can he make?"	"4. If Ryan has 16 lessons to choose from, how many different tutors could he create?"	"4. If there are 10 major palaces in Seoul, how many different schedules of visits could Liam choose from?"	"4. If 21 students submitted stories, how many different collections could Mrs. Hemingway create?"	4. How many different lineups can the coach form if there are only 5 people on the track team?
								
%(numCol)%	3	6	6	5	3	4	5	3
								
%(Q1C1A)%	3	6	8	5	3	3	5	20
%(Q1C2A)%	2	5	7	4	2	2	4	19
%(Q1C3A)%	1	4	6	3	1	1	3	18
%(Q1C4A)%	*	3	5	2	*	*	2	*
%(Q1C5A)%	*	2	4	1	*	*	1	*
%(Q1C6A)%	*	1	3	*	*	*	*	*
