Problem Name	00Intro	02Banquet	03Goodies	05College	01Automobile	04Disguises	06Clothes
%(startStateNodeName)%	start	Row 1 Complete	Third filled	start	Row 2 Complete	start	start
%(statement)%	"Jen is making outfits for her dress up doll. The items shown below are the outfits she made so far, and Jen is planning to make more! Her dolls always dress up using one item from each category. Help Jen find out how many different ways she can dress up her doll."	"Your class banquet is being held at a fancy restaurant. When it's time to order your meal, you are able to select items from the following menu to make a dinner. "	"Martha is making goodie bags for a party in her neighborhood. She is going to put a chocolate bar, a lollipop, a cookie, and a piece of fruit in each bag. Please help Martha figure out how many different goodie bags she can make. Martha has the following number and types of goodies."	"At the Newfield College summer camp, each day is divided into a program that consists of an academic class, a team sport, a handicraft, and a water activity. Please help the camp administrators figure out the number of different sets of programs from which the campers can choose. "	"The Apex motor company makes one automobile, the Borealis, and the company offers these options: "	"Sam the private detective is famous for his disguises. It is important for him to never be seen in the same disguise more than once. His disguises always consist of a wig, a pair of eyeglasses, and a hat. Please help Sam plan his disguises."	"Fred is packing some t-shirts, shorts and baseball caps for a two week vacation. He is wondering how many different outfits he can make. He is currently planning to pack the items listed below. Please help Fred figure out how many different outfits he can put together."
%(numCategory)%	5	5	4	4	4	3	3
%(item1)%	"Hats: brown hat, black hat"	"Appetizers: nachos, soup, shrimp, breadsticks"	2 types of chocolate bars	5 Academic classes	"Exterior Colors: maroon, blue, silver, white, black "	4 Wigs	4 Shirts
%(item2)%	"Bag colors: red, black, white, gold, silver"	"Main Courses: spaghetti, chicken, steak, salmon, fajitas"	2 flavors of lollipops	6 Team sports	"Interior Colors: beige, gray, white, blue"	5 pairs of Eyeglasses	3 pairs of Shorts
%(item3)%	"Shirt: star patterned T-shirt, flower patterned T-shirt, plain white T-shirt"	"Vegetables: peas, broccoli, carrots"	2 types of cookies	10 Handicrafts	"Wheel Types: steel, alloy, custom alloy"	1 Hat	1 Cap
%(item4)%	"Pairs of pants: black shorts, pair of jeans"	"Beverages: milk, soft drink, juice"	2 different types of fruit	4 Water Activities	Engine Sizes: 1600cc	-	-
%(item5)%	"Pairs of shoes: tennis shoes, sandles"	"Desserts: brownies, cookies, cake, fruit, ice cream, pudding"	-	-	-	-	-
%(q1)%	1. How many different ways can Jen's doll dress up using outfits available above?	1. How many different dinners are possible if you chose one item from each category?	"1. If she use all of the items shown above, how many different goodie bags can she make?"	1. The set of programs shown above are programs that were available last year. How many different programs were available to campers last year in Newfield College? 	1. How many different variations of Borealis are available to customers?	1. How many different disguises can he make using his current items shown above?	1. How many different outfits can he put together if he decideds to keep his first numbers of each of the clothes shown above?
%(q2)%	2. Jen is now trying to make her doll dress up in exactly 160 different ways by making more shirts. How many shirts should she have in total to have exactly 160 different outfits for her doll?	2. Suppose the restaurant has run out of brownies. How many dinners are still possible?	"2. If she has 2 more flavors of lollipops, and 2 more types of cookies, how many different goodie bags can she make?"	"2. This year, the camp might reduce the number of team sports by 50% and the numbers of handicrafts by 50%. How many different programs would be available to campers?"	"2. How many variations would be available if Apex offered 3 new exterior colors, and one new Engine size?"	"2. If you give Sam 2 extra hats, how many different disguises can he make?"	"2. How many different outfits can he put together if he wants to bring 1 extra shirt, but 1 less pair of shorts?"
