Problem Name	Intro_problem	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9	Problem10
%(startStateNodeName)%	state4	state2	state1
%(problem_statement)%	"Wendy wants to host a barbeque in her backyard. To prepare for how many veggie burgers she will need to buy, she uses a formula depending on how many people are going to show up."	The website CDs-R-Us sells music CDs. You can buy as many CDs as you want each time you order for $8 a cd plus a $12 shipping and handling charge. The company uses the following formula to calculate the cost of an order:	"Andy borrowed $30 from his parents to buy the new Space Rider video game. To pay them back, Andy decides to walk dogs for his neighbors during the summer, charging them $15 per dog walked. He hopes the summer job will also give him some extra spending money. To keep track of how much money he has to spend on himself, Andy uses the following formula:"	"The class end of semester celebration is coming up and Alice wants to bring in pumpkin cookies as gifts for her classmates and her teacher, Miss Bird. Alice and her mom bake enough cookies so that Alice can give six cookies to as many friends as she wants and twelve cookies to Miss Bird. The morning of the party, Alice decides how many cookies she needs to take by using the following formula:"	"Danny wants to buy his mom a bottle of her favorite perfume for her birthday, but he only has $14 in his piggy bank. Danny's parents give him an allowance of $5 every week, so he decides to save money until he can afford to buy the expensive perfume. To calculate how much money he will have after saving, Danny uses the following formula:"	"Wonder World, a local amusement park, just opened for the season and Emily's class is taking an all-day field trip there. Emily's parents buy her enough tickets in advance to give her best friend 20 tickets and go on as many rides as she wants. It takes 4 tickets to ride one ride. Emily keeps track of how many tickets she has used up at the park by using the following formula:"	"There are 10 students in Mr. Whistler's advanced art class and they have decided to enter the city-wide art competition. Not only will it be fun to work together on a big project, but a big check goes to the winning group. Each student contributes $5 for supplies for the competition. The students use the following formula to determine how much they will individually receive from the winnings."	"Susie has a bad habit of spending all of the money her parents give her for her allowance, and now she wants to try to save some of it. She gathers up all of the money she has, counts that it is $20, and puts it in a piggy bank. She decides to put 1/5 of her allowance into the bank over the next year, keeping the rest to spend on herself (old habits die hard!). Curious about how much money she will have to buy toys and candy at the end of the year, Susie uses the following formula to calculate how much she will have saved."	"Mark and his 3 friends go to a local baseball game. They each paid $25 for a ticket to the game. When they enter the ball park, they are randomly selected to participate in a trivia challenge in which they can win a grand prize. Mark uses the following formula to figure out how much money he can win if they split the grand prize."	"Beth's Sunshine Cadet troop is selling boxes of chocolate for $10 per box. The money raised from the sale will go into the troop's charity fund, which already contains $200, to be given to the local children's hospital. Beth offers to calculate how much money the troop has after the chocolate sale is over. She uses the following formula:"	"Bobby has been collecting baseball cards for as long as he can remember and now he has 500 cards. That's more than anyone he knows! Because his collection is so large, Bobby decides to share any cards he gets for his birthday with his two brothers. To keep a count of the number of cards in his ever-growing collection, Bobby uses the following formula:"
%(formula1)%	Let g = the number of guests that show up	Let x = the number of CDs you order	Let d = the number of dogs Andy has walked	Let f = the number of friends receiving cookies	Let w = the number of weeks Danny has been saving	Let r = the rides Emily has ridden	Let p = the prize money for wining the art competition	Let a = the allowance Susie gets over the year	Let p = the grand prize for the trivia challenge	Let b = the boxes of chocolates sold	Let c = the cards Bobby receives for his birthday
%(formula2)%	The number of burgers she will need to buy = 2g + 4	The cost of the order = 8x + 12	The amount of spending money Andy has = 15d - 30	The number of cookies Alice brings = 6f + 12	The amount of money in Danny's piggy bank = 5w + 14	The number of tickets Emily has used = 4r + 20	Share of the winnings for easels = p/10 - 5	The total amount of Susie's savings = a/5 + 20	The amount of money Mark would win = p/4 - 25	The money in the troop's charity fund = 10b + 200	The total cards in Bobby's collection = c/3 + 500
%(question1)%	1. How many veggie burgers does she need to buy if 3 people come to her BBQ?	1. How much does it cost to buy 1 CD?	"1. If Andy has walked 2 dogs, how much spending money does he have?"	"1. If Alice wants to give cookies to 2 friends, how many cookies does she bring to school?"	1. How much money does Danny have after 1 week of saving?	"1. After 1 ride, how many tickets has Emily used?"	"1. If the grand prize is $500, how much will each student receive?"	"1. If Susie's parents give her $100 over the next year, how much will she have saved?"	"1. If the grand prize is $200, how much would Mark win?"	"1. If the troop sells 10 boxes of chocolate, how much money will they have in the fund?"	"1. If Bobby's parents give him 9 cards, how many cards will he have?"
%(question2)%	2. How many does she need to buy if 5 people come to her BBQ?	2. How much does it cost to buy 2 CDs?	"2. After walking 3 dogs, how much spending money does Andy have?"	"2. If Alice plans to give cookies to 5 friends, how many cookies does she bring?"	2. How much money will Danny have after 3 weeks of saving?	2. How many tickets has Emily used after 2 rides?	"2. If the grand prize is $600, how much will each student receive?"	"2. If Susie's allowance for the next year is $150, how much will she have saved?"	"2. If the grand prize is $400, how much would Mark win?"	"2. If 15 boxes are sold, how much money will the troop have in its charity fund?"	"2. If Bobby receives 18 cards, how many total cards will be in his collection?"
%(question3)%	"3. If 7 of her friends show up, how many does she need to buy?"	3. How much does it cost to buy 3 CDs?	"3. If Andy has walked 4 dogs, how much money does he have to spend?"	3. How many cookies does Alice bring if she wants to give them to 8 friends?	"3. After 4 weeks of saving, how much money will Danny have?"	3. Before lunch Emily has already ridden 10 rides. How many tickets has she used?	3. How much will each student receive if the grand prize is worth $800?	"3. If Susie's allowance for the next year is $200, how much will she have saved?"	3. How much would Mark win if the grand prize is $800?	3. How much money will be in the charity fund if the troop sells 20 boxes of chocolate?	3. How many cards will Bobby have if he receives 30 cards for his birthday?
%(question4)%	"4. If 9 of her friends show up, how many does she need to buy?"	4. How much does it cost to buy 4 CDs?	4. How much spending money does Andy have if he has walked 5 dogs?	"4. If Alice wants to give cookies to 10 friends, how many cookies does she need?"	4. How much money will Danny have after 6 weeks of saving?	"4. At the end of the day, she had ridden 25 rides. How many tickets has she used?"	4. How much will each student receive if the grand prize is $1000?	"4. If Susie's parents give her $300 over the next year, how much will she have saved?"	4. How much would Mark win if the grand prize is $1200?	4. How much money will be in the charity fund if the troop sells 30 boxes of chocolate?	"4. If Bobby receives 60 cards for his birthday, how many will he have in his collection?"
%(heading1)%	Number of guests	Number of CDs	Number of dogs Andy walked	Number of friends Alice brings cookies for	Number of weeks Danny has been saving	Number of rides Emily has ridden	Prize for the art competition	Amount of money Susie receives	Grand Prize for the trivia challenge	Number of boxes of chocolate sold	Number of cards Bobby receives for his birthday
%(heading2)%	Number of veggie burgers she will buy	Cost of the order	Amount of spending money Andy has	Number of cookies Alice brings	Amount of money in Danny's piggy bank.	Number of tickets Emily has used	Amount of money each student receives	Amount of money Susie has saved	Amount of money Mark wins	Total amount in troop's charity fund	Number of cards in Bobby's collection
