Problem Name	01Bank	02Highway	03Farmer	04Stocks	05Vitamins	06Widgets	07Gold	08Store
%(problem_statement)%	Read these questions carefully. The original value in questions 2 and 3 is the final value in the previous question. Damien is looking at some of his bank statements.	Imagine that you are driving your car on the highway to the mall. The speed limit is 50 miles per hour. You are driving at the speed limit. Please answer these questions:	A farmer is using a new growing technique this year for the first time. He wants to compare the amount of crops he grew this year to the amount he grew last year to see which technique produced better results.	Here is what happened with your favorite stocks today. Please answer these questions:	"Dr. Xu switched your multivitamin. You are comparing the amounts of vitamin B 12, vitamin E, potassium, and vitamin C in your old pills and your new pills."	Natasha has been keeping track of the month-by-month production of her widget factory. Read these questions carefully. The beginning value for questions 2 and 3 are the final value of the preceding question.	"During the California Gold Rush of the 1800s, thousands of people moved to San Francisco hoping to find gold and get rich. The original population in question 2 is the same as the final population in question 1."	"The Acme Department Store is getting ready for the fall by adjusting the prices of its merchandise. There will be a discount (a decrease in cost) for most of the spring and summer wear, and a markup (an increase in cost) for the new winter fashions."
%(startStateNodeName)%	state20	state14	state8	state2				
								
%(q1a1-select)%	q1c1	q1c1	q1c1	q1c1	q1c1	q1c1	q1c1	q1c3
%(q1a1-input)%	%(q1c1)%	%(q1c1)%	%(q1c1)%	%(q1c1)%	%(q1c1)%	%(q1c1)%	%(q1c1)%	%(q1c3)%
%(q1a2-select)%	q1c3	q1c4	q1c3	q1c2	q1c3	q1c2	q1c4	q1c4
%(q1a2-input)%	%(q1c3)%	%(q1c4)%	%(q1c3)%	%(q1c2)%	%(q1c3)%	%(q1c2)%	%(q1c4)%	%(q1c4)%
%(q1a3-select)%	q1c4	q1c3	q1c4	q1c3	q1c4	q1c3	q1c3	q1c1
%(q1a3-input)%	%(q1c4)%	%(q1c3)%	%(q1c4)%	%(q1c3)%	%(q1c4)%	%(q1c3)%	%(q1c3)%	%(q1c1)%
%(q1a4-select)%	q1c2	q1c2	q1c2	q1c4	q1c2	q1c4	q1c2	q1c2
%(q1a4-input)%	%(q1c2)%	%(q1c2)%	%(q1c2)%	%(q1c4)%	%(q1c2)%	%(q1c4)%	%(q1c2)%	%(q1c2)%
%(q1a1-expression)%	"expressionMatches(input, %(q1a1-input)%)"	"expressionMatches(input, %(q1a1-input)%)"	"expressionMatches(input, %(q1a1-input)%)"	"expressionMatches(input, %(q1a1-input)%)"	"expressionMatches(input, %(q1a1-input)%)"	"expressionMatches(input, %(q1a1-input)%)"	"expressionMatches(input, %(q1a1-input)%)"	"expressionMatches(input, %(q1a1-input)%)"
%(q1a2-expression)%	"expressionMatches(input, %(q1a2-input)%)"	"expressionMatches(input, %(q1a2-input)%)"	"expressionMatches(input, %(q1a2-input)%)"	"expressionMatches(input, %(q1a2-input)%)"	"expressionMatches(input, %(q1a2-input)%)"	"expressionMatches(input, %(q1a2-input)%)"	"expressionMatches(input, %(q1a2-input)%)"	"expressionMatches(input, %(q1a2-input)%)"
%(q1a3-expression)%	"expressionMatches(input, %(q1a3-input)%)"	"expressionMatches(input, %(q1a3-input)%)"	"expressionMatches(input, %(q1a3-input)%)"	"expressionMatches(input, %(q1a3-input)%)"	"expressionMatches(input, %(q1a3-input)%)"	"expressionMatches(input, %(q1a3-input)%)"	"expressionMatches(input, %(q1a3-input)%)"	"expressionMatches(input, %(q1a3-input)%)"
%(q1a4-expression)%	"expressionMatches(input, %(q1a4-input)%)"	"expressionMatches(input, %(q1a4-input)%)"	"expressionMatches(input, %(q1a4-input)%)"	"expressionMatches(input, %(q1a4-input)%)"	"expressionMatches(input, %(q1a4-input)%)"	"expressionMatches(input, %(q1a4-input)%)"	"expressionMatches(input, %(q1a4-input)%)"	"expressionMatches(input, %(q1a4-input)%)"
								
%(q2a1-select)%	q2c1	q2c1	q2c4	q2c1	q2c4	q2c1	q2c1	q2c1
%(q2a1-input)%	%(q2c1)%	%(q2c1)%	%(q2c4)%	%(q2c1)%	%(q2c4)%	%(q2c1)%	%(q2c1)%	%(q2c1)%
%(q2a2-select)%	q2c2	q2c2	q2c3	q2c4	q2c3	q2c3	q2c3	q2c4
%(q2a2-input)%	%(q2c2)%	%(q2c2)%	%(q2c3)%	%(q2c4)%	%(q2c3)%	%(q2c3)%	%(q2c3)%	%(q2c4)%
%(q2a3-select)%	q2c3	q2c3	q2c1	q2c3	q2c1	q2c4	q2c4	q2c3
%(q2a3-input)%	%(q2c3)%	%(q2c3)%	%(q2c1)%	%(q2c3)%	%(q2c1)%	%(q2c4)%	%(q2c4)%	%(q2c3)%
%(q2a4-select)%	q2c4	q2c4	q2c2	q2c2	q2c2	q2c2	q2c2	q2c2
%(q2a4-input)%	%(q2c4)%	%(q2c4)%	%(q2c2)%	%(q2c2)%	%(q2c2)%	%(q2c2)%	%(q2c2)%	%(q2c2)%
%(q2a1-expression)%	"expressionMatches(input, %(q2a1-input)%)"	"expressionMatches(input, %(q2a1-input)%)"	"expressionMatches(input, %(q2a1-input)%)"	"expressionMatches(input, %(q2a1-input)%)"	"expressionMatches(input, %(q2a1-input)%)"	"expressionMatches(input, %(q2a1-input)%)"	"expressionMatches(input, %(q2a1-input)%)"	"expressionMatches(input, %(q2a1-input)%)"
%(q2a2-expression)%	"expressionMatches(input, %(q2a2-input)%)"	"expressionMatches(input, %(q2a2-input)%)"	"expressionMatches(input, %(q2a2-input)%)"	"expressionMatches(input, %(q2a2-input)%)"	"expressionMatches(input, %(q2a2-input)%)"	"expressionMatches(input, %(q2a2-input)%)"	"expressionMatches(input, %(q2a2-input)%)"	"expressionMatches(input, %(q2a2-input)%)"
%(q2a3-expression)%	"expressionMatches(input, %(q2a3-input)%)"	"expressionMatches(input, %(q2a3-input)%)"	"expressionMatches(input, %(q2a3-input)%)"	"expressionMatches(input, %(q2a3-input)%)"	"expressionMatches(input, %(q2a3-input)%)"	"expressionMatches(input, %(q2a3-input)%)"	"expressionMatches(input, %(q2a3-input)%)"	"expressionMatches(input, %(q2a3-input)%)"
%(q2a4-expression)%	"expressionMatches(input, %(q2a4-input)%)"	"expressionMatches(input, %(q2a4-input)%)"	"expressionMatches(input, %(q2a4-input)%)"	"expressionMatches(input, %(q2a4-input)%)"	"expressionMatches(input, %(q2a4-input)%)"	"expressionMatches(input, %(q2a4-input)%)"	"expressionMatches(input, %(q2a4-input)%)"	"expressionMatches(input, %(q2a4-input)%)"
								
