Problem Name	00intro	01triangle	02soccer	03map	04triangle	05a_park	05b_park	05c_park	06triangle	07triangle	08airplane	09boat	10a_city	10b_city	10c_city	11park
%(startStateNodeName)%	go	go	go	go	go	go	go	go	go	go	go	go	go	go	go	go
%(graphic)%	Assets/01.png	Assets/01.png	Assets/02.png	Assets/03.png	Assets/04.png	Assets/05.png	Assets/05.png	Assets/05.png	Assets/06.png	Assets/07.png	Assets/08.png	Assets/09.png	Assets/10.png	Assets/10.png	Assets/10.png	Assets/11.png
%(tableHeader_type)%	1	1	1	2	1	2	0	0	2	0	0	0	2	0	0	0
%(worksheet_type)%	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2
%(allowChoice-mm)%	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0
%(hidePythLabel)%								hidden	hidden	hidden	hidden	hidden	hidden	hidden	hidden	hidden
%(story1)%	Triangle ABC is a right triangle. Angle C represents the right angle (90 degree angle).	Triangle ABC is a right triangle. Angle C represents the right angle (90 degree angle).	"Stacy, Kate, and Erika are playing soccer. Stacy has the ball. She and Kate are parallel to the goal."	Moesha found a treasure map in her grandparents' attic. It tells her to start at a cave. 	Triangle ABC is a right triangle. Angle C represents the right angle (90 degree angle).	"Sam decided to walk in the park for an exercise today. She parked her car at point ""A"" and began walking."	"Sam visited the park again for some exercise. She parked her car at point ""A"" and began walking."	"Sam visited the park again for some exercise. She parked her car at point ""A"" and began walking."	Triangle ABC is a right triangle. Angle C represents the right angle (90 degree angle).	Triangle ABC is a right triangle. Angle C represents the right angle (90 degree angle).	"You live 24 miles from an airport, and you sometimes see an airplane flying right above the house. "	A boat is drifting on the surface of the ocean with its anchor down so that it will not drift too far. 	Today you decide to drive around the neighborhood in which you would like to rent an apartment. 	Let's say you drive down to see the apartment but the length of the streets were different.	Let's say you drive down to see the apartment but the length of the streets were different.	"You are meeting a friend in the secret spot in a park, but you are running a little late. "
%(story2)%	"In any right triangle, the side opposite of the right angle is called the 'hypotenuse'. The remaining two sides are referred to as 'legs'. In this diagram, 'a' and 'b'  (lower case letters) represent the legs of Triangle ABC, and 'c' is the hypotenuse. "	"In any right triangle, the side opposite of the right angle is called the 'hypotenuse'. The remaining two sides are referred to as 'legs'. In this diagram, 'a' and 'b'  (lower case letters) represent the legs of Triangle ABC, and 'c' is the hypotenuse. "	"Stacy knows that time is running short, so she wants the ball to travel the shortest distance possible to get to the goalie, Erika. So instead of kicking it to Kate, Stacy decides to kick it right toward Erika. Find the distance the soccer ball traveled if Stacy and Kate are 14 feet away from each other, while Kate is 22.5 feet directly in front of the goalie, Erika."	"From the cave, she should walk 63 yards due west until she reaches a palm three. Then, she should walk north for 60 yards and dig for the treasure. This is 123 yards of walk; it's long! But Moesha is smart; she decided to use Pythagorean theorem to figure out the distance of the short cut; she will walk straight from the cave to the treasure!"	"In any right triangle, the side opposite of the right angle is called the 'hypotenuse'. The remaining two sides are referred to as 'legs'. In this diagram, 'a' and 'b'  (lower case letters) represent the legs of Triangle ABC, and 'c' is the hypotenuse. "	"Starting from point ""A"", Sam walked 'c' units due east. After she reached a huge tree (point ""B""), she changed her direction and walked 'a' units due north. When she reached point ""C"", it began to rain! So she ran to her car in a southwest direction, from point ""C"" to ""A"" to get into her car. Answer the following questions by completing the table."	"Starting from point ""A"", Sam walked 'c' units due east. After she reached a huge tree (point ""B""), she changed her direction and walked 'a' units due north. When she reached point ""C"", it began to rain! So she ran to her car in a southwest direction, from point ""C"" to ""A"" to get into her car. Answer the following questions by completing the table."	"Starting from point ""A"", Sam walked 'c' units due east. After she reached a huge tree (point ""B""), she changed her direction and walked 'a' units due north. When she reached point ""C"", it began to rain! So she ran to her car in a southwest direction, from point ""C"" to ""A"" to get into her car. Answer the following questions by completing the table."	"In any right triangle, the side opposite of the right angle is called the 'hypotenuse'. The remaining two sides are referred to as 'legs'. In this diagram, 'a' and 'b'  (lower case letters) represent the legs of Triangle ABC, and 'c' is the hypotenuse. "	"In any right triangle, the side opposite of the right angle is called the 'hypotenuse'. The remaining two sides are referred to as 'legs'. In this diagram, 'a' and 'b'  (lower case letters) represent the legs of Triangle ABC, and 'c' is the hypotenuse. "	"Usually, by the time you see the airplane above you, the diagonal distance the airplane must travel to reach the airport is 25 miles. You are wondering how high the airplane is in the sky when you see another airplane pass above your house."	The captain knows the length of the chain that connects to the anchor; it is 58 foot. He wants to know the maximum distance the boat can drift with this length of the chain. He made a simple diagram of the boat and its chain when it has drifted as much as possible. 	"You are currently at your friend's house, point 'B'. You drive down Cochran Boulevard, and then you turn left on to Elm Street until you reach the apartment you wanted to see, at point 'A'. After you view the apartment, you take the short cut to go back to your friend's house through Lauria Way."	"You are currently at your friend's house, point 'B'. You drive down Cochran Boulevard, and then you turn left on to Elm Street until you reach the apartment you wanted to see, at point 'A'. After you view the apartment, you take the short cut to go back to your friend's house through Lauria Way."	"You are currently at your friend's house, point 'B'. You drive down Cochran Boulevard, and then you turn left on to Elm Street until you reach the apartment you wanted to see, at point 'A'. After you view the apartment, you take the short cut to go back to your friend's house through Lauria Way."	"The path to the secret spot in the park is shown on the diagram. You are hoping to get to the spot in time using a shortcut, the hypotenuse. Don't be confused at the map because it is not exactly a right triangle; try to think of the lengths of the legs if it was a right triangle instead!"
%(question1)%	"If leg 'a' is 3 feet, and leg 'b' is 4 feet, what is the length of the hypotenuse 'c'?"	"If leg 'a' is 6 feet, and leg 'b' is 8 feet, what is the length of the hypotenuse 'c'?"	What is the distance the soccer ball will travel if Stacy kicks the ball directly to Erika?	"Help Moesha figure out the length of her straight path, and see how much it is shorter compared to 123 yards, the distance the map says Moesha should travel. "	"If b = 12 cm, and c = 13 cm, what is the length of a?"	"If she walked 10 kilometers due east and 24 kilometers due north, what is the distance she ran to get back her car? "	"If she ran 8.5 kilometers to get back to her car and walked 4 kilometers due north when she was walking, how many kilometers did she walk due east?"	"If she ran 5 kilometers to get back to her car and walked 4 kilometers due east when she was walking, how many kilometers did she walk due north?"	"If side 'a' is 2 milimeters, and side 'b' is 1.5 milimeters, what is the length of the hypotenuse, side 'c'?"	"If side 'a' is 15 inches, and side 'c' is 17 inches, what is the length of the second leg, side 'b'?"	Use the Pythagorean theorem to find out the distance between the airplane and your house when you see an airplane above you. 	"If the lake is 40 feet deep, how far can the boat drift in any one direction from its original position?"	"If you drove 3 kilometers on Cochran Blvd, and 4 kilometers on Elm st., how far do you need to drive on Lauria Way? "	"If you drove 6.5 kilometers on Lauria Way and you drove 6 kilometers on Elm St., how far did you drive down on Cochran Blvd.?"	"If you drove 13 kilometers on Lauria Way and you drove 5 kilometers on Elm St., how far did you drive down on Cochran Blvd.?"	"Find the distance of the shortcut using the information given in the problem statment, and the Pythagorean therorem."
%(heading1)%	Length of leg 'a'	Leg <span>a</span>	Distance between Kate and Stacy	Distance between the cave and the palm tree	Leg <span>a</span>	Distance Sam walked due east	Distance Sam walked due east	Distance Sam walked due east	Length of leg 'a'	Length of leg 'a'	Distance from the airport to my house	Drifting distance	Distance driven on Cochran Blvd.	Distance driven on Cochran Blvd.	Distance driven on Cochran Blvd.	Total distance to walk east
%(heading2)%	Length of leg 'b'	Leg <span>b</span>	Distance between Kate and Erika	Distance between the palm tree and the treasure	Leg <span>b</span>	Distance Sam walked due north	Distance Sam walked due north	Distance Sam walked due north	Length of leg 'b'	Length of leg 'b'	Distance from the plane to my house	Depth of the lake	Distance driven on Elm St.	Distance driven on Elm St.	Distance driven on Elm St.	Total distance to walk south
%(heading3)%	Length of hypotenuse 'c'	Hypotenuse <span>c</span>	Distance the ball will travel	Distance of the short cut	Hypotenuse <span>c</span>	Distance Sam ran to get back to her car	Distance Sam ran to get back to her car	Distance Sam ran to get back to her car	Length of hypotenuse 'c'	Length of hypotenuse 'c'	Distance from the plane to the airport	Length of the anchor chain	Distance driven on Lauria Way	Distance driven on Lauria Way	Distance driven on Lauria Way	Distance you would walk using the shortcut
%(unit1)%	feet	feet	feet	yards	centimeters	kilometers	kilometers	kilometers	milimeters	inches	miles	feet	kilometers	kilometers	kilometers	yards
%(unit2)%	square feet	square feet	square feet	square yards	square centimeters	square kilometers	square kilometers	square kilometers	square milimeters	square inches	square miles	square feet	square kilometers	square kilometers	square kilometers	square yards
%(unt1)%	ft	ft	ft	yd	cm	km	km	km	mm	in	mi	ft	km	km	km	yd
%(unt2)%	sq. ft	sq. ft	sq. ft	sq. yd	sq. cm	sq. km	sq. km	sq. km	sq. mm	sq. in	sq. mi	sq. ft	sq. km	sq. km	sq. km	sq. yd
																
																
%(ansQ1a)%	3	6	14	63	5	10	7.5	4	2	15	24	42	3	2.5	12	5
%(ansQ1b)%	4	8	22.5	60	12	24	4	3	1.5	8	7	40	4	6	5	9
%(ansQ1c)%	5	10	26.5	87	13	26	8.5	5	2.5	17	25	58	5	6.5	13	106^0.5
%(worka)%	9	36	196	3969	25	100	56.25	16	4	225	576	1764	9	6.25	144	25
%(workb)%	16	64	506.25	3600	144	576	16	9	2.25	64	49	1600	16	36	25	81
%(workc)%	25	100	702.25	7569	169	676	72.25	25	6.25	289	625	3364	25	42.25	169	106
																
%(replace1)%	3	6	14	63	5	10	7.5	4	2	15	24	42	3	2.5	12	5
%(replace2)%	4	8	22.5	60	12	24	4	3	1.5	8	7	40	4	6	5	9
%(replace3)%	5	10	26.5	87	13	26	8.5	5	2.5	17	25	58	5	6.5	13	10.2956
																
%(solved-leg)%	-	-	-	-	5	-	7.5	3	-	8	7	42	-	2.5	5	-
%(solved-leg-squared)%	-	-	-	-	25	-	56.25	9	-	64	49	1764	-	6.25	25	-
																
																
																
																
																
																
