Problem Name	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9	Problem10
%(startStateNodeName)%		state12	state9	state5						
%(problemstatement)%	You are saving money to buy a bicycle. You have $20 to start with. Each week, you save $10 of your allowance. If you know the amount of time you have been saving, then you can figure out the amount of money you have saved.<br><br>(1) How much money will you have saved after 5 weeks?<br><br>(2) How much money will you have saved after 6 weeks?<br><br>(3) How much money will you have saved after 7 weeks?<br><br>(4) How many weeks will it take you to save $200?<br><br>In the row labeled "Expression", define a variable for the number of weeks you have been saving and use that variable to write an expression that will allow you to calculate the total amount of money you have saved.	Audra receives an allowance from her parents every month, and she portions an equal amount of the total allowance for 4 different things -- shopping, entertainment, bus fare, and savings. Right now Audra has $150 in savings and will continue to add to her fund in the future.<br><br>(1) If Audra receives $60 for this month's allowance, how much money will she then have in savings?<br><br>(2) How much money will Audra have in savings if she receives $80 for this month's allowance?<br><br>(3) If Audra receives $100 for this month's allowance, how much money will she then have in savings?<br><br>(4) If Audra has $200 in savings after this month, how much did she receive for her allowance?<br><br>In the row labeled "Expression", define a variable for the amount Audra receives for her allowance and use that variable to write an expression that will allow you to calculate the total amount Audra has in savings.	Suppose that your school's drama department will be performing the musical Guys and Dolls this spring. The show requires a lot of elaborate sets and costumes, which will cost the production team a total of $1200. To recover the expenses of the show, tickets for the musical will be sold for $10 each. Any money made after $1200 will be considered a profit for the drama department.<br><br>(1) How much profit will be made if 120 tickets are sold?<br><br>(2) If 200 tickets are sold, how much profit will be made?<br><br>(3) How much profit will be made if 220 tickets are sold?<br><br>(4) If the drama department makes a profit of $1800, how many tickets were sold?<br><br>In the row labeled "Expression", define a variable for the number of tickets sold and use that variable to write an expression that will allow you to calculate the total profit made from the show.	At Bowl-A-Rama you must pay $3 to rent a pair of lovely multi-colored bowling shoes. In addition, each game you bowl will cost you $5.<br><br>(1) If you bowl 2 games at Bowl-A-Rama, how much money will it cost you?<br><br>(2) How much money will it cost you to bowl 3 games at Bowl-A-Rama?<br><br>(3) If you bowl 4 games at Bowl-A-Rama, how much money will it cost you?<br><br>(4) If you pay a total of $33 at Bowl-A-Rama, how many games did you bowl?<br><br>In the row labeled "Expression", define a variable for the number of games you bowl and use that variable to write an expression that will allow you to calculate the total amount of money you spent.	The Baker is famous around town for his moist chocolate cupcakes. Every day at dawn he wakes up and bakes many, many cupcakes and packages them in boxes of 13 (the Baker's dozen!). The Baker always saves 3 boxes of cupcakes to take home with him at night, but he sells the rest of the boxes to his faithful customers.<br><br>(1) If the Baker bakes 130 cupcakes, how many boxes will he have to sell?<br><br>(2) How many boxes will the Baker have to sell if he bakes 260 cupcakes?<br><br>(3) If the Baker bakes 520 cupcakes, how many boxes will he have to sell?<br><br>(4) If the Baker has 47 boxes of cupcakes to sell, how many cupcakes did he bake?<br><br>In the row labeled "Expression", define a variable for the number of cupcakes baked and use that variable to write an expression that will allow you to calculate the number of boxes of cupcakes available to sell.	Jenny is a lifeguard at the community swimming pool, and she earns $5 an hour for her work. At the end of every month Jenny receives her paycheck. She always takes $50 out to spend on herself at the shopping mall, and she puts the rest into her savings account.<br><br>(1) If Jenny works 10 hours in a given month, how much money does she put into her savings account?<br><br>(2) How much money does Jenny put into her savings account if she works 20 hours in a given month?<br><br>(3) If Jenny works 30 hours in a given month, how much money does she put into her savings account?<br><br>(4) If Jenny puts $200 into her savings account, how many hours did she work that month?<br><br>In the row labeled "Expression", define a variable for the number of hours Jenny worked and use that variable to write an expression that will allow you to calculate the total amount of money Jenny put in savings.	The local MacBurger is raising money for the community park fund. For each burger sold on a particular day, $2 will be donated to the fund. The fund has already raised $1300 to date.<br><br>(1) How much money will be in the fund if they sell 80 burgers?<br><br>(2) How money will be in the fund if they sell 120 burgers?<br><br>(3) How much money will be in the fund if they sell 260 burgers?<br><br>(4) If the fund now has $2150, how many burgers were sold?<br><br>In the row labeled "Expression", define a variable for the number of burgers sold and use that variable to write an expression that will allow you to calculate the total amount of money in the park fund.	Clarissa is selling some of her old books to help her save money for new books. She is selling each book at a yard sale for $1.50 and she already has $16 saved from her birthday.<br><br>(1) How much money will she have if she sells 8 books at the yard sale?<br><br>(2) How much money will she have if she sells 12 books at the yard sale?<br><br>(3) If Clarissa sells 20 books, how much money will she have saved?<br><br>(4) If Clarissa has $58 saved, how many books did she sell?<br><br>In the row labeled "Expression", define a variable for the number of books sold and use that variable to write an expression that will allow you to calculate the total amount of money Clarissa has saved.	Paul is starting a new job at Rocketeers Restaurant. He will receive $6 for every hour worked, but they will subtract $33 from each paycheck for benefits and taxes.<br><br>(1) If Paul works 38 hours, how much will he receive in his paycheck?<br><br>(2) If Paul works 52 hours, how much will he receive in his paycheck?<br><br>(3) If Paul works 67 hours, how much will he receive in his paycheck?<br><br>(4) How many hours did Paul work if his paycheck is for $483?<br><br>In the row labeled "Expression", define a variable for the number of hours worked and use that variable to write an expression that will allow you to calculate the total amount of Paul's paycheck.	Pierre's Dessert Palace is famous for their banana's foster. Pierre's perfect banana's foster recipe requires 3 whole bananas per serving. Pierre's Dessert Palace reserves 12 servings each night for the late night crew to enjoy.<br><br>(1) If Pierre's receives a shipment of 240 bananas, how many banana's foster desserts can they sell?<br><br>(2) If Pierre's receives 138 bananas, how many banana's foster desserts can they sell?<br><br>(3) How many servings of banana's foster can they sell if they receive 300 bananas?<br><br>(4) How many bananas did Pierre's receive in shipment if they sold 146 servings of banana's foster?<br><br>In the row labeled "Expression", define a variable for the number of bananas and use that variable to write an expression that will allow you to calculate the total number of servings.
%(instructions)%	In the row labeled "Expression", define a variable for the number of weeks you have been saving and use that variable to write an expression that will allow you to calculate the total amount of money you have saved.	In the row labeled "Expression", define a variable for the amount Audra receives for her allowance and use that variable to write an expression that will allow you to calculate the total amount Audra has in savings.	In the row labeled "Expression", define a variable for the number of tickets sold and use that variable to write an expression that will allow you to calculate the total profit made from the show.	In the row labeled "Expression", define a variable for the number of games you bowl and use that variable to write an expression that will allow you to calculate the total amount of money you spent.	In the row labeled "Expression", define a variable for the number of cupcakes baked and use that variable to write an expression that will allow you to calculate the number of boxes of cupcakes available to sell.	In the row labeled "Expression", define a variable for the number of hours Jenny worked and use that variable to write an expression that will allow you to calculate the total amount of money Jenny put in savings.	In the row labeled "Expression", define a variable for the number of burgers sold and use that variable to write an expression that will allow you to calculate the total amount of money in the park fund.	In the row labeled "Expression", define a variable for the number of books sold and use that variable to write an expression that will allow you to calculate the total amount of money Clarissa has saved.	In the row labeled "Expression", define a variable for the number of hours worked and use that variable to write an expression that will allow you to calculate the total amount of Paul's paycheck.	In the row labeled "Expression", define a variable for the number of bananas and use that variable to write an expression that will allow you to calculate the total number of servings.
%(Label1)%	Amount of time	Amount Audra receives for her allowance	Number of tickets sold	Number of games you bowled	Number of cupcakes the Baker bakes	Number of hours Jenny worked	Number of burgers sold	Number of books sold	Number of hours worked	Number of bananas
%(Label2)%	Amount of money you have saved	Total amount Audra has in savings	Profit made from the show	Total amount of money you spent	Number of boxes of cupcakes to sell	Amount of money Jenny puts in savings	Amount of money in the park fund	Amount of money saved	Total paycheck amount	Servings of banana's foster sold
%(UnitLabel1)%	weeks	dollars	tickets	games	cupcakes	hours	burgers	books	hours	bananas
%(UnitLabel2)%	dollars	dollars	dollars	dollars	boxes	dollars	dollars	dollars	dollars	servings
%(quan1)%	amount of time	the amount Audra receives for her allowance	the number of tickets sold	the number of games you bowled	the number of cupcakes the Baker bakes	the number of hours Jenny worked	the number of burgers sold	the number of books sold	the number of hours worked	number of bananas
%(quan2)%	amount of money you have saved	total amount Audra has in savings	profit made from the show	total amount of money you spent	number of boxes of cupcakes to sell	amount of money Jenny put into her savings account	amount of money in the park fund	amount of money saved	total paycheck amount	servings of banana's foster sold
%(unit1)%	weeks	dollars	tickets	games	cupcakes	hours	burgers	books	hours	bananas
